School Name,G Overall,W Overall,L Overall,W-L% Overall,SRS Overall,SOS Overall,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Lipscomb,21,13,8,.619,-1.60,-4.21,5,3,10,1,3,7,1586,1423,69.6,107.9,.252,.390,.568,53.0,50.3,7.9,7.3,.545,16.2,29.2,.183
Little Rock,21,6,15,.286,-13.54,-5.86,2,6,6,3,0,12,1525,1631,72.7,99.9,.337,.323,.518,48.6,53.3,9.0,5.8,.481,16.4,29.2,.241
Long Beach State,20,10,10,.500,-0.38,0.90,4,4,5,3,3,6,1541,1490,73.5,102.3,.299,.232,.514,54.0,49.8,10.1,9.6,.489,15.7,35.2,.196
Long Island University,20,2,18,.100,-24.63,-2.37,0,8,2,7,0,10,1341,1625,73.9,90.8,.333,.277,.496,46.8,57.4,9.0,8.3,.468,19.1,26.1,.211
Longwood,21,15,6,.714,-0.25,-6.31,7,1,9,1,6,5,1586,1387,68.6,110.1,.350,.357,.559,53.7,47.8,10.1,7.1,.525,15.8,34.2,.255
Louisiana,20,16,4,.800,1.98,-1.85,6,2,7,0,7,4,1601,1416,70.4,112.9,.348,.332,.583,54.7,53.9,10.1,8.9,.561,15.8,33.7,.238
Louisiana State,20,12,8,.600,4.30,5.00,1,7,9,3,0,4,1330,1344,67.0,99.3,.323,.372,.517,49.8,53.2,10.8,7.7,.483,16.9,29.8,.226
Louisiana Tech,20,11,9,.550,0.99,0.46,4,5,7,3,3,6,1511,1385,69.5,106.6,.306,.428,.564,51.8,51.1,11.8,7.8,.536,17.4,30.6,.222
Louisiana-Monroe,21,9,12,.429,-8.84,-0.78,5,3,6,4,3,6,1459,1448,68.2,101.9,.302,.348,.522,49.2,57.0,11.8,11.2,.493,16.4,31.4,.209
Louisville,19,2,17,.105,-6.91,5.93,0,8,2,10,0,4,1185,1429,69.1,90.2,.362,.355,.502,48.3,40.9,7.6,7.4,.459,21.0,27.1,.259
Loyola (IL),19,7,12,.368,-5.08,-0.14,1,6,5,4,1,4,1275,1369,67.0,98.8,.313,.398,.561,49.8,54.0,8.3,8.7,.537,21.3,26.3,.215
Loyola (MD),21,7,14,.333,-14.01,-4.85,2,6,4,5,2,8,1360,1460,66.8,97.0,.268,.385,.530,48.6,55.9,11.2,7.4,.514,19.7,28.2,.166
Loyola Marymount,21,14,7,.667,7.38,4.18,4,3,9,2,3,4,1592,1478,69.6,107.7,.301,.436,.559,53.1,46.0,7.9,7.2,.537,15.8,29.4,.203
Maine,19,7,12,.368,-8.64,-3.64,1,5,4,3,3,8,1328,1332,67.4,102.4,.207,.354,.543,48.0,54.2,14.4,6.4,.520,16.0,24.4,.153
Manhattan,18,6,12,.333,-11.05,-4.70,4,5,3,6,2,5,1229,1290,68.2,98.1,.309,.385,.531,46.4,51.6,10.9,9.9,.505,18.6,27.5,.206


Marist,18,7,11,.389,-9.64,-6.69,3,6,3,6,3,5,1128,1181,65.5,95.0,.268,.451,.508,48.4,49.1,9.9,11.0,.480,16.7,23.3,.187
Marquette,21,16,5,.762,17.83,6.54,8,2,11,1,4,3,1728,1491,70.2,115.1,.267,.403,.594,47.5,59.0,13.3,10.0,.574,14.0,27.0,.192
Marshall,21,17,4,.810,8.85,-2.90,6,2,12,1,5,3,1719,1458,72.3,112.6,.221,.359,.545,52.3,57.8,12.2,13.6,.532,13.4,35.8,.141
Maryland,19,12,7,.632,12.73,6.62,3,5,9,1,1,5,1335,1219,66.8,105.2,.341,.385,.537,51.1,42.3,8.3,9.2,.502,15.4,31.0,.244
Maryland-Baltimore County,21,14,7,.667,-2.90,-6.00,4,2,10,2,4,5,1634,1545,69.1,112.6,.262,.403,.566,50.9,55.1,8.1,6.9,.537,12.7,28.0,.199
Maryland-Eastern Shore,19,11,8,.579,-8.42,-1.73,4,1,7,0,4,8,1286,1275,69.7,96.4,.252,.386,.517,48.0,52.3,15.2,5.4,.491,18.0,28.9,.176
Massachusetts,19,11,8,.579,0.60,0.12,2,5,5,3,2,4,1342,1333,71.2,99.1,.330,.298,.502,52.2,56.8,10.1,11.5,.468,17.1,34.6,.225
Massachusetts-Lowell,21,17,4,.810,-0.31,-8.10,5,2,11,0,6,4,1656,1391,71.0,110.3,.292,.314,.573,56.7,51.3,10.2,12.9,.549,17.8,37.6,.206
McNeese State,20,5,15,.250,-11.92,-0.55,2,5,3,6,2,9,1360,1520,68.0,99.3,.246,.431,.524,48.8,45.9,12.6,6.0,.508,19.3,32.3,.154
Memphis,20,15,5,.750,12.46,5.41,5,2,9,0,3,4,1577,1436,72.9,106.9,.356,.281,.555,49.9,55.0,12.6,15.0,.517,15.8,31.5,.264
Mercer,21,9,12,.429,-6.22,-3.11,2,6,4,4,3,7,1471,1438,65.9,105.6,.285,.298,.541,50.9,54.2,8.6,5.6,.514,15.0,30.4,.199
Merrimack,21,6,15,.286,-13.95,-4.11,4,3,3,5,3,8,1203,1315,65.9,86.9,.353,.461,.497,41.1,56.2,16.1,10.5,.458,20.2,19.0,.244
Miami (FL),20,16,4,.800,12.22,3.52,7,3,11,0,4,3,1563,1389,68.2,113.9,.304,.363,.574,51.4,52.5,11.1,9.6,.542,14.5,33.6,.231
Miami (OH),20,7,13,.350,-8.67,-0.91,1,6,6,6,1,6,1486,1500,71.0,104.6,.305,.413,.558,48.5,52.2,9.4,8.6,.519,17.7,28.4,.239
Michigan,19,11,8,.579,10.45,5.71,5,3,8,2,1,3,1411,1321,69.0,106.2,.327,.371,.539,49.9,48.0,7.4,11.9,.511,12.7,25.0,.224
Michigan State,20,13,7,.650,13.10,9.30,5,4,8,2,3,3,1393,1317,65.7,104.7,.253,.324,.538,53.1,58.0,7.1,8.1,.508,14.5,28.2,.189
Middle Tennessee,20,13,7,.650,3.43,1.04,6,3,7,2,3,5,1394,1301,66.9,103.0,.300,.357,.541,52.2,43.9,12.0,15.4,.517,17.7,32.5,.203
Milwaukee,20,14,6,.700,-1.64,-2.52,8,2,10,2,4,4,1559,1385,71.6,107.4,.319,.382,.568,52.5,50.4,9.6,16.2,.537,17.9,33.0,.233
Minnesota,18,7,11,.389,0.26,5.04,1,7,5,6,1,4,1125,1211,65.3,94.4,.302,.363,.500,47.6,58.5,7.5,10.2,.482,17.1,25.8,.179
Mississippi,20,9,11,.450,7.25,6.40,1,7,6,6,1,4,1350,1333,66.9,100.3,.304,.343,.512,52.3,52.1,10.5,12.5,.484,16.9,34.2,.205


Mississippi State,19,12,7,.632,10.95,4.32,1,6,7,3,1,3,1234,1108,65.6,99.0,.335,.366,.482,52.7,59.4,14.9,11.8,.456,15.3,35.9,.206
Mississippi Valley State,22,2,20,.091,-18.87,-1.32,1,7,2,3,0,15,1260,1646,67.7,84.6,.363,.258,.462,47.1,44.8,10.6,7.3,.425,20.5,29.1,.235
Missouri,20,15,5,.750,11.74,4.39,4,4,11,2,2,3,1667,1520,72.7,113.9,.314,.422,.586,45.4,57.4,15.6,9.5,.554,14.0,28.2,.238
Missouri State,21,11,10,.524,2.05,0.65,7,4,7,3,3,5,1376,1313,63.6,101.9,.276,.444,.524,52.5,48.0,10.7,13.0,.506,17.0,32.5,.172
Monmouth,20,1,19,.050,-19.81,1.29,0,7,0,8,1,11,1148,1570,68.4,84.0,.299,.288,.449,46.1,52.2,11.7,7.6,.421,19.8,30.0,.184
Montana,20,9,11,.450,-0.26,-0.68,3,5,6,4,2,7,1383,1363,65.1,105.7,.319,.411,.563,51.2,49.5,7.3,7.5,.524,15.9,24.5,.250
Montana State,21,13,8,.619,2.41,-0.70,6,2,7,1,6,4,1580,1394,69.8,107.8,.383,.372,.576,52.5,50.0,9.2,8.8,.540,16.0,26.2,.282
Morehead State,21,12,9,.571,-10.10,-3.16,5,3,8,2,4,7,1504,1453,68.5,104.7,.380,.384,.549,53.1,58.0,9.0,9.0,.508,16.4,29.5,.281
Morgan State,20,11,9,.550,-8.12,-2.81,4,1,8,0,2,8,1584,1440,74.0,105.1,.288,.302,.551,49.8,54.7,14.0,13.1,.527,18.5,35.2,.198
Mount St. Mary's,20,7,13,.350,-8.18,-4.70,3,6,3,5,4,8,1241,1285,66.0,94.1,.238,.342,.502,49.2,57.1,9.2,6.9,.473,18.4,28.8,.173
Murray State,21,11,10,.524,-1.49,-1.04,6,5,7,1,2,8,1489,1461,67.3,104.2,.340,.329,.533,51.5,46.4,8.0,8.4,.494,14.6,29.1,.249
Navy,20,10,10,.500,-4.77,-4.40,3,5,6,3,4,7,1419,1387,65.4,107.1,.229,.393,.558,51.3,56.3,9.1,7.4,.541,16.2,30.2,.156
NC State,21,16,5,.762,13.18,3.51,6,4,11,1,2,3,1665,1462,71.1,110.9,.291,.383,.546,51.6,48.4,12.0,12.2,.515,12.2,30.4,.213
Nebraska,20,10,10,.500,7.04,8.14,3,6,7,2,2,6,1323,1345,66.9,97.7,.275,.358,.513,50.8,52.5,8.3,7.1,.493,16.5,28.3,.174
Nevada,21,16,5,.762,11.91,6.41,6,2,10,0,4,4,1554,1400,67.0,108.5,.401,.404,.565,50.4,57.3,9.3,9.5,.514,13.8,24.6,.317
Nevada-Las Vegas,20,13,7,.650,8.76,4.18,2,6,7,4,2,3,1528,1369,70.8,106.6,.342,.381,.547,48.3,50.6,13.5,12.5,.515,14.8,28.9,.242
New Hampshire,18,8,10,.444,-8.46,-5.34,3,3,5,3,3,7,1210,1185,65.4,102.0,.271,.420,.506,50.4,52.2,7.9,6.2,.477,13.0,28.5,.188
New Mexico,21,18,3,.857,13.80,3.50,5,3,13,1,4,2,1732,1487,72.8,111.2,.401,.273,.574,53.7,50.0,9.6,11.3,.537,14.5,29.0,.292
New Mexico State,20,7,13,.350,-1.46,3.30,0,8,4,4,1,7,1475,1423,71.3,103.5,.326,.386,.536,51.6,46.9,10.6,7.3,.507,15.6,29.8,.224
New Orleans,18,6,12,.333,-15.23,-4.73,3,4,5,5,1,7,1274,1432,73.1,95.9,.367,.308,.543,47.0,59.3,8.7,5.0,.513,21.2,25.7,.250


Niagara,19,10,9,.526,-6.75,-4.47,5,5,5,2,3,7,1225,1228,63.3,101.2,.282,.358,.539,49.0,48.1,8.2,7.2,.507,16.1,26.3,.208
Nicholls State,19,10,9,.526,-6.74,-0.11,6,2,7,0,3,8,1413,1348,73.2,101.5,.275,.365,.525,48.7,50.4,12.6,9.0,.508,16.2,30.8,.170
NJIT,19,5,14,.263,-11.29,-5.07,2,4,3,5,2,9,1275,1359,66.7,99.3,.332,.348,.513,47.6,53.4,9.0,8.3,.486,14.8,25.0,.217
Norfolk State,20,13,7,.650,-3.96,-2.77,3,2,6,1,4,6,1513,1379,68.3,110.5,.330,.375,.571,52.9,52.3,9.7,12.9,.539,15.9,33.5,.243
North Alabama,21,11,10,.524,-11.10,-4.21,3,5,5,2,5,8,1566,1555,70.3,105.4,.306,.330,.547,50.7,42.8,8.6,8.9,.524,14.8,26.3,.205
North Carolina,21,15,6,.714,14.45,7.26,7,3,10,0,2,4,1664,1513,70.2,109.7,.416,.356,.555,53.4,47.2,8.8,9.1,.510,13.6,29.3,.308
North Carolina A&T,22,10,12,.455,-7.96,-0.43,5,4,5,3,4,6,1593,1618,70.8,101.8,.289,.415,.532,47.4,46.0,10.4,6.5,.508,14.8,23.8,.194
North Carolina Central,19,10,9,.526,-3.51,-2.71,3,2,9,1,1,8,1459,1263,70.7,107.2,.316,.347,.570,52.8,54.5,11.2,8.6,.544,18.3,31.7,.224
North Dakota,22,7,15,.318,-8.85,-1.75,1,8,5,7,2,8,1518,1578,67.6,101.5,.266,.437,.530,49.1,47.3,6.9,6.9,.509,16.2,27.1,.176
North Dakota State,21,8,13,.381,-5.88,-0.41,5,4,4,4,4,7,1508,1546,69.5,103.4,.315,.416,.543,50.9,44.6,6.1,7.3,.517,15.4,25.1,.214
North Florida,20,8,12,.400,-9.19,-0.36,3,5,7,1,1,11,1486,1565,70.8,104.3,.296,.478,.550,46.2,51.0,6.9,8.0,.525,15.6,23.8,.204
North Texas,21,16,5,.762,7.61,1.71,7,3,6,2,6,2,1306,1158,59.7,104.1,.309,.428,.518,53.9,51.0,11.1,9.4,.484,16.3,36.3,.221
Northeastern,19,8,11,.421,-7.35,-3.35,4,4,4,4,3,6,1250,1326,67.7,96.5,.263,.378,.513,52.7,54.2,8.0,10.3,.491,18.9,32.0,.172
Northern Arizona,21,5,16,.238,-7.30,1.59,1,7,4,5,1,10,1500,1582,69.1,101.6,.287,.388,.516,49.8,57.8,8.5,5.0,.482,14.4,27.8,.207
Northern Colorado,20,7,13,.350,-6.49,1.36,2,6,2,6,3,7,1422,1572,69.3,101.2,.314,.426,.539,47.1,48.5,7.5,3.4,.503,16.2,23.5,.235
Northern Illinois,20,8,12,.400,-7.56,-1.06,4,3,3,3,4,8,1408,1505,71.4,98.6,.332,.373,.540,47.1,43.9,10.1,6.9,.514,18.9,25.6,.223
Northern Iowa,20,11,9,.550,-0.11,-1.22,7,3,7,4,3,3,1403,1326,67.9,103.3,.319,.384,.546,51.3,45.7,10.3,4.9,.522,16.0,25.8,.214
Northern Kentucky,21,13,8,.619,-1.77,-1.83,8,2,11,2,2,3,1416,1335,64.1,102.2,.289,.395,.518,49.3,55.7,14.5,8.3,.495,16.0,32.4,.189
Northwestern,18,13,5,.722,13.25,5.41,4,3,9,3,3,1,1238,1097,67.4,102.0,.340,.418,.503,50.8,58.2,12.4,14.8,.458,13.2,29.7,.254
Northwestern State,20,12,8,.600,-3.25,-2.62,4,3,5,2,6,6,1457,1458,68.6,104.9,.259,.396,.513,47.3,46.5,12.2,5.6,.487,14.6,33.9,.179


Notre Dame,21,9,12,.429,2.09,3.61,1,9,9,5,0,5,1480,1512,65.2,107.5,.240,.437,.561,47.2,47.9,7.1,7.4,.535,13.1,20.3,.181
Oakland,21,9,12,.429,-7.16,-0.81,7,3,5,3,4,6,1533,1595,69.3,103.4,.296,.406,.537,44.6,47.4,10.2,6.6,.502,13.6,23.4,.221
Ohio,20,11,9,.550,0.99,-1.06,3,4,9,1,2,7,1558,1450,69.8,110.9,.262,.375,.553,52.3,47.2,9.3,6.6,.527,14.3,32.9,.190
Ohio State,20,11,9,.550,16.63,6.48,3,6,8,2,1,5,1539,1336,67.7,112.2,.280,.306,.555,53.4,44.0,7.7,10.6,.526,13.7,33.7,.206
Oklahoma,20,11,9,.550,11.39,8.74,2,6,6,4,1,4,1345,1292,65.0,102.8,.264,.357,.567,50.7,54.5,8.3,8.3,.540,17.9,22.9,.194
Oklahoma State,20,11,9,.550,13.35,8.50,3,5,8,2,1,5,1363,1266,68.3,99.2,.314,.391,.527,51.9,54.5,9.0,15.9,.496,18.4,31.1,.220
Old Dominion,20,11,9,.550,0.36,-0.48,3,5,9,3,1,4,1360,1330,65.4,103.4,.368,.274,.508,52.1,43.8,9.8,12.4,.477,14.1,33.6,.241
Omaha,21,7,14,.333,-10.14,0.26,3,6,4,4,1,10,1442,1618,68.7,100.0,.277,.290,.542,48.2,50.2,8.4,9.9,.505,17.8,24.9,.218
Oral Roberts,21,17,4,.810,9.21,0.39,8,0,11,0,6,4,1768,1514,72.8,115.6,.246,.459,.588,50.1,49.6,9.2,15.1,.564,12.6,25.1,.186
Oregon,20,11,9,.550,12.85,8.95,5,4,8,4,2,3,1404,1326,66.9,104.9,.336,.410,.539,53.4,52.5,9.3,13.9,.510,16.3,32.9,.230
Oregon State,20,8,12,.400,0.22,4.22,2,7,7,3,1,6,1276,1335,66.3,96.3,.333,.369,.534,48.4,51.2,8.2,9.7,.495,18.6,23.3,.247
Pacific,22,10,12,.455,-1.55,0.25,3,4,4,9,6,3,1652,1670,70.6,105.2,.340,.385,.551,46.2,45.0,8.1,7.8,.520,15.0,24.5,.241
Penn State,20,13,7,.650,11.85,5.65,4,5,10,2,1,4,1462,1338,65.9,109.6,.191,.473,.572,47.6,53.2,7.6,6.4,.551,12.0,17.3,.147
Pennsylvania,21,10,11,.476,-1.31,-1.36,2,4,5,4,5,7,1536,1503,67.2,107.0,.267,.407,.559,51.6,57.4,8.1,9.5,.530,16.2,29.1,.199
Pepperdine,21,7,14,.333,1.18,5.13,0,7,6,5,0,8,1622,1660,74.1,103.0,.274,.355,.555,49.5,51.3,7.9,9.8,.534,17.0,25.5,.186
Pittsburgh,20,13,7,.650,9.63,3.18,6,3,8,3,5,2,1482,1353,68.7,107.9,.317,.446,.557,52.1,54.4,8.1,11.1,.522,15.5,30.6,.237
Portland,22,11,11,.500,2.02,3.62,3,4,9,4,1,6,1708,1692,72.1,107.7,.423,.453,.582,48.6,62.9,6.7,6.1,.546,16.6,24.4,.307
Portland State,20,9,11,.450,-3.70,1.03,3,4,4,2,4,7,1538,1467,72.4,106.2,.344,.383,.549,47.9,52.9,10.8,9.2,.510,15.5,28.2,.257
Prairie View,21,7,14,.333,-8.82,-3.03,3,5,5,2,2,11,1398,1466,70.4,93.4,.314,.313,.478,51.5,43.1,11.4,9.4,.443,16.9,33.7,.213
Presbyterian,21,5,16,.238,-12.20,-4.93,1,7,5,4,0,10,1353,1437,64.9,98.3,.383,.362,.503,50.6,47.6,9.2,8.8,.475,16.9,32.9,.239


Princeton,19,14,5,.737,3.85,-4.20,5,1,6,2,6,2,1439,1250,69.6,108.0,.311,.416,.568,56.1,49.6,7.2,7.9,.544,16.7,29.3,.216
Providence,20,15,5,.750,13.40,3.45,7,2,11,0,4,3,1576,1377,69.5,112.0,.410,.308,.560,56.5,51.5,10.1,11.8,.519,15.7,38.0,.301
Purdue,20,19,1,.950,19.36,5.61,8,1,9,1,6,0,1471,1196,64.2,113.9,.363,.391,.560,58.3,60.8,7.4,11.3,.517,14.3,38.9,.278
Purdue-Fort Wayne,21,13,8,.619,-1.89,-3.63,5,5,7,3,5,4,1572,1394,70.5,105.4,.289,.466,.547,52.4,50.4,10.5,7.0,.521,16.3,28.8,.201
Queens (NC),21,13,8,.619,-4.01,-5.73,3,5,6,2,5,6,1706,1577,71.2,114.0,.335,.449,.572,54.3,53.0,9.0,6.0,.544,15.3,34.1,.240
Quinnipiac,20,15,5,.750,1.38,-4.52,6,3,6,2,7,2,1457,1327,69.5,104.7,.353,.382,.528,54.1,53.6,9.0,7.2,.503,15.3,33.6,.229
Radford,21,12,9,.571,-0.45,-3.24,6,2,7,1,4,8,1512,1363,66.8,107.8,.320,.326,.554,52.3,46.1,11.0,10.2,.530,15.9,31.2,.216
Rhode Island,19,6,13,.316,-2.33,0.73,2,5,5,5,0,6,1272,1330,68.5,96.4,.373,.307,.496,51.5,53.5,8.6,9.8,.445,17.7,33.1,.278
Rice,19,14,5,.737,0.82,-1.06,5,3,9,2,5,3,1549,1399,71.9,110.4,.353,.415,.594,53.2,60.4,8.3,5.4,.564,16.9,27.1,.259
Richmond,20,11,9,.550,3.99,0.39,4,3,9,2,1,5,1372,1300,66.5,101.9,.324,.457,.548,50.3,52.4,8.8,7.7,.517,16.3,22.5,.231
Rider,18,9,9,.500,-3.95,-3.19,6,3,5,2,4,5,1246,1222,66.2,104.6,.303,.260,.520,52.6,45.2,8.1,7.7,.480,14.9,33.8,.229
Robert Morris,21,9,12,.429,-6.21,-3.90,4,6,5,2,4,7,1443,1397,67.8,101.3,.259,.360,.532,50.5,53.8,9.6,9.5,.507,17.0,28.3,.181
Rutgers,20,14,6,.700,18.38,5.43,6,3,12,2,2,3,1399,1140,66.9,103.9,.304,.302,.515,53.7,59.3,14.3,13.3,.476,14.9,34.1,.226
Sacramento State,20,11,9,.550,-2.73,-0.95,4,3,7,0,4,6,1347,1343,64.6,101.7,.285,.366,.532,53.8,54.3,7.9,6.9,.507,17.9,32.3,.196
Sacred Heart,22,11,11,.500,-12.59,-9.40,4,3,5,3,6,8,1554,1580,71.6,98.7,.262,.381,.511,49.2,53.0,11.2,8.9,.486,16.4,28.1,.179
Saint Francis (PA),19,8,11,.421,-10.90,-5.49,5,1,7,3,1,8,1396,1391,70.0,104.9,.301,.359,.556,49.9,53.3,7.3,4.5,.529,16.3,26.5,.213
Saint Joseph's,19,9,10,.474,-0.66,-0.35,3,4,7,4,2,3,1353,1359,69.6,101.7,.341,.458,.531,49.0,52.8,9.7,8.8,.500,17.0,29.1,.234
Saint Louis,20,14,6,.700,7.12,2.75,6,1,10,2,3,3,1538,1412,70.6,109.0,.319,.344,.553,54.0,59.8,6.9,9.8,.520,14.5,31.0,.233
Saint Mary's (CA),22,18,4,.818,20.59,5.92,7,0,12,2,3,0,1586,1258,64.6,111.0,.283,.376,.557,56.5,49.0,11.5,9.6,.538,14.3,33.5,.187
Saint Peter's,20,8,12,.400,-10.15,-4.94,3,8,6,4,2,8,1231,1283,64.1,95.5,.251,.354,.463,53.5,47.9,10.0,10.5,.433,16.0,38.3,.171


Sam Houston State,20,15,5,.750,8.70,1.58,5,3,7,1,6,4,1559,1188,68.8,112.6,.271,.377,.568,55.3,50.3,13.9,8.0,.549,16.2,36.6,.183
Samford,21,14,7,.667,1.00,-4.29,8,0,10,2,4,5,1639,1456,69.4,111.0,.397,.450,.569,52.8,48.4,10.7,7.9,.528,15.9,31.9,.296
San Diego,21,9,12,.429,-1.12,2.36,2,5,7,5,2,5,1638,1653,70.5,109.3,.317,.356,.550,49.6,50.2,10.1,6.2,.511,13.7,29.9,.242
San Diego State,19,15,4,.789,14.63,7.47,6,1,9,1,5,0,1426,1259,68.9,107.5,.353,.367,.556,53.5,51.9,11.7,9.8,.520,15.7,30.7,.259
San Francisco,23,14,9,.609,6.54,1.94,3,5,9,4,3,3,1724,1606,71.0,105.6,.303,.492,.566,52.7,51.1,9.5,6.7,.534,17.9,29.0,.226
San Jose State,21,13,8,.619,4.42,2.87,4,4,8,2,3,5,1438,1385,63.8,106.8,.264,.402,.543,56.3,52.4,5.6,10.4,.524,16.0,33.9,.175
Santa Clara,22,16,6,.727,9.19,5.86,4,3,11,3,2,2,1645,1562,70.8,105.0,.296,.369,.539,54.4,49.9,8.5,9.9,.507,15.9,32.2,.215
Seattle,20,16,4,.800,4.68,-0.10,7,0,9,0,6,2,1516,1343,71.5,105.4,.317,.466,.533,53.0,51.7,8.3,8.4,.500,14.7,30.9,.225
Seton Hall,21,12,9,.571,11.16,7.96,5,5,8,3,3,4,1443,1352,68.4,100.4,.433,.346,.531,51.9,51.7,11.7,12.7,.493,18.6,32.5,.295
Siena,20,13,7,.650,-1.16,-3.71,7,2,6,2,5,4,1398,1347,67.0,103.6,.336,.327,.548,52.6,49.9,8.0,11.9,.507,17.5,30.8,.256
South Alabama,20,8,12,.400,-1.40,0.82,2,6,5,3,1,8,1387,1360,68.2,101.1,.193,.392,.531,46.2,43.7,8.5,9.9,.516,13.9,20.4,.127
South Carolina,19,8,11,.421,-5.88,2.96,1,5,6,4,2,3,1212,1380,65.4,96.3,.254,.413,.485,49.2,45.7,7.3,7.4,.461,16.3,32.8,.165
South Carolina State,21,3,18,.143,-16.98,-2.78,0,5,2,3,1,15,1561,1792,73.7,99.7,.286,.310,.501,48.8,50.3,9.6,9.2,.471,16.5,34.1,.195
South Carolina Upstate,19,9,10,.474,-9.51,-3.39,4,4,7,1,2,9,1309,1331,69.0,99.2,.352,.328,.539,46.2,45.3,10.8,13.7,.517,17.9,25.8,.224
South Dakota,20,9,11,.450,-9.99,-2.49,4,4,6,4,1,6,1373,1451,66.9,102.6,.277,.412,.544,50.1,49.6,7.0,4.3,.510,16.9,27.4,.212
South Dakota State,20,11,9,.550,-1.59,1.31,6,2,6,1,3,7,1367,1393,69.3,98.1,.294,.409,.543,47.8,44.9,7.6,8.1,.501,17.3,19.6,.236
South Florida,20,9,11,.450,3.23,1.58,2,5,6,7,2,3,1436,1403,69.1,103.8,.308,.356,.526,52.0,51.1,9.2,8.0,.502,16.1,33.9,.203
Southeast Missouri State,21,10,11,.476,-6.44,-3.33,5,3,5,3,4,7,1572,1556,73.6,100.4,.328,.415,.530,49.7,53.6,9.3,9.3,.500,16.1,26.4,.225
Southeastern Louisiana,20,11,9,.550,-7.34,-2.75,5,2,7,2,3,6,1546,1536,70.7,107.3,.329,.379,.548,49.2,50.7,10.2,4.6,.512,15.0,29.3,.244
Southern,20,10,10,.500,-5.13,-2.52,6,1,5,0,4,9,1502,1467,75.2,99.3,.317,.386,.545,46.9,58.9,12.2,6.9,.513,17.8,23.0,.227


Southern California,20,14,6,.700,11.70,6.80,6,3,9,1,3,3,1425,1327,68.6,103.2,.319,.307,.539,49.8,53.0,10.9,15.0,.505,17.0,30.3,.231
Southern Illinois,22,17,5,.773,2.93,-2.02,9,2,10,1,6,3,1476,1335,65.8,101.4,.298,.484,.564,49.5,57.8,12.0,5.9,.533,18.1,21.9,.221
SIU Edwardsville,21,14,7,.667,-2.40,-4.67,5,3,7,3,5,4,1557,1438,69.8,106.2,.402,.374,.544,51.3,51.0,10.1,12.0,.499,15.9,32.4,.298
Southern Indiana,21,12,9,.571,-5.49,-5.22,5,3,8,1,3,8,1614,1514,71.6,106.7,.339,.425,.555,54.0,51.3,11.2,6.9,.531,17.6,33.4,.227
Southern Methodist,20,7,13,.350,0.45,4.35,2,5,4,7,1,5,1373,1451,69.9,97.0,.302,.338,.503,48.3,51.4,9.0,9.7,.471,15.7,27.4,.209
Southern Mississippi,21,17,4,.810,5.94,-2.06,6,2,10,0,5,4,1594,1342,69.0,110.0,.294,.360,.547,53.7,54.4,13.0,8.6,.520,14.7,35.2,.208
Southern Utah,21,14,7,.667,3.22,1.33,6,2,9,1,3,5,1806,1539,74.8,112.2,.390,.393,.580,53.7,46.9,10.9,9.2,.548,15.5,30.5,.278
St. Bonaventure,20,10,10,.500,0.26,-0.39,4,3,9,1,0,7,1341,1328,66.6,100.0,.284,.357,.515,49.8,48.5,10.7,10.9,.486,15.9,29.7,.198
St. Francis (NY),20,9,11,.450,-17.89,-10.45,2,5,7,3,2,8,1305,1378,67.9,96.1,.318,.323,.503,48.5,53.1,11.3,11.1,.466,17.7,30.9,.226
St. John's (NY),20,13,7,.650,9.97,3.82,3,6,9,3,1,4,1555,1432,73.9,104.6,.271,.284,.530,53.1,51.1,12.4,10.1,.505,15.7,33.2,.185
St. Thomas,22,13,9,.591,-3.10,-4.00,4,5,9,0,2,9,1650,1549,66.6,112.6,.326,.421,.574,48.7,49.6,9.2,5.9,.535,13.5,26.0,.256
Stanford,19,7,12,.368,8.30,6.57,2,7,5,4,0,4,1290,1257,66.6,102.0,.291,.412,.531,52.7,53.8,9.6,10.7,.501,17.1,31.1,.206
Stephen F. Austin,20,13,7,.650,1.24,-0.88,5,2,8,2,4,2,1523,1339,70.7,107.0,.356,.298,.572,50.9,56.8,13.3,7.5,.539,18.9,33.2,.260
Stetson,19,11,8,.579,-2.03,-1.44,6,2,5,1,5,6,1459,1371,64.9,115.3,.235,.454,.577,50.0,53.9,8.5,8.6,.555,13.7,31.7,.173
Stonehill,22,9,13,.409,-11.48,-5.29,5,3,3,4,5,8,1485,1568,69.2,97.6,.333,.433,.555,45.5,51.8,10.2,7.3,.516,18.6,18.4,.253
Stony Brook,20,7,13,.350,-11.99,-2.82,3,4,5,4,2,8,1257,1360,64.7,97.1,.307,.481,.526,49.5,54.5,7.0,6.6,.487,17.0,22.3,.230
Syracuse,21,13,8,.619,7.66,2.47,6,4,9,4,3,3,1580,1471,68.3,108.8,.287,.290,.553,50.0,54.1,11.0,17.1,.523,14.5,31.0,.211
Tarleton State,20,10,10,.500,-2.37,2.57,3,4,8,0,0,9,1417,1354,69.0,102.6,.457,.250,.529,49.0,49.0,13.6,8.7,.490,15.4,29.7,.308
TCU,20,16,4,.800,17.81,4.36,5,3,10,2,2,2,1554,1285,71.6,108.5,.370,.291,.544,51.9,57.6,12.4,13.0,.508,14.4,34.5,.263
