School Name,G Overall,W Overall,L Overall,W-L% Overall,SRS Overall,SOS Overall,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Butler,21,11,10,.524,8.26,7.40,3,7,8,3,2,5,1436,1418,68.1,100.3,.278,.348,.544,46.3,51.0,10.3,11.0,.512,15.8,20.4,.209
Cal Poly,20,7,13,.350,-6.65,-0.59,1,7,6,4,1,9,1247,1308,65.4,94.8,.299,.360,.523,51.7,46.5,8.3,7.7,.484,19.7,27.6,.226
Cal State Bakersfield,19,6,13,.316,-9.43,-0.73,2,6,4,4,1,8,1108,1182,63.3,91.6,.261,.236,.481,50.7,48.9,9.3,10.9,.444,18.1,30.3,.192
Cal State Fullerton,21,10,11,.476,-0.08,0.39,4,5,8,1,2,8,1463,1399,66.6,101.0,.359,.375,.525,49.3,45.7,10.1,8.1,.493,16.2,29.4,.244
Cal State Northridge,20,4,16,.200,-8.97,-0.41,1,8,4,5,0,9,1280,1340,65.1,97.6,.317,.328,.495,48.7,44.8,10.1,8.9,.454,15.2,29.1,.230
California,20,3,17,.150,-0.58,6.87,2,7,3,10,0,5,1219,1368,63.8,94.9,.328,.321,.508,48.8,47.1,7.0,9.7,.466,18.3,26.9,.243


California Baptist,20,12,8,.600,2.86,-0.77,4,3,9,3,3,3,1364,1274,65.0,103.6,.304,.453,.521,52.8,57.3,6.6,9.5,.498,15.2,30.9,.197
Campbell,20,8,12,.400,-6.50,-3.73,3,5,4,5,3,6,1361,1355,65.0,103.3,.376,.400,.552,50.8,53.2,10.4,8.3,.518,17.1,26.1,.266
Canisius,19,5,14,.263,-7.98,-1.03,3,7,3,5,2,9,1321,1400,68.2,100.0,.245,.417,.507,48.7,55.3,8.4,6.4,.476,15.7,31.4,.177
Central Arkansas,21,6,15,.286,-13.92,-2.57,1,7,4,4,1,10,1529,1705,73.2,98.3,.247,.417,.510,48.8,46.3,8.4,8.4,.480,16.6,29.0,.180
Central Connecticut State,21,5,16,.238,-11.97,-6.59,3,4,3,5,2,10,1348,1461,66.4,96.7,.188,.385,.503,48.2,51.8,10.1,11.2,.482,16.0,26.1,.133
Central Florida,19,13,6,.684,11.80,4.22,4,3,9,2,2,3,1370,1226,65.3,106.3,.299,.409,.541,53.1,54.5,9.6,12.0,.504,17.4,36.4,.228
Central Michigan,20,7,13,.350,-9.30,-2.03,2,5,5,4,1,8,1342,1427,70.4,94.7,.354,.384,.507,49.9,45.9,8.7,11.5,.468,19.7,31.7,.249
Charleston Southern,19,7,12,.368,-7.06,-3.00,3,5,5,5,2,7,1446,1425,68.0,111.2,.279,.403,.553,51.8,45.8,7.8,8.2,.523,14.9,34.6,.205
Charlotte,20,13,7,.650,4.90,-1.95,4,5,8,1,3,5,1365,1228,62.5,107.8,.250,.394,.581,51.8,55.1,9.2,8.5,.557,16.0,24.3,.186
Chattanooga,21,11,10,.524,-0.68,-1.57,3,5,7,4,4,6,1640,1477,68.4,113.5,.322,.539,.584,53.7,59.2,8.4,11.3,.557,15.5,30.9,.232
Chicago State,21,5,16,.238,-9.77,-1.87,4,0,1,16,1410,1548,66.5,100.3,.335,.424,.523,49.9,48.8,7.9,7.7,.482,18.4,34.0,.247
Cincinnati,21,14,7,.667,10.63,3.23,5,3,10,3,3,2,1613,1422,70.4,109.1,.250,.392,.542,52.6,54.3,8.8,10.7,.520,13.4,31.4,.173
Clemson,21,17,4,.810,10.68,2.49,9,1,12,0,3,2,1561,1389,67.9,108.3,.321,.381,.577,50.9,56.6,8.0,8.9,.538,14.8,22.6,.256
Cleveland State,21,12,9,.571,-0.41,-3.88,7,3,6,3,6,6,1460,1368,65.1,105.6,.303,.288,.521,50.0,48.0,11.1,8.2,.491,14.1,34.2,.210
Coastal Carolina,20,10,10,.500,-7.76,-1.88,4,4,7,4,3,6,1515,1435,69.0,108.4,.279,.365,.542,52.3,49.5,8.9,10.3,.506,15.0,34.6,.214
Colgate,22,15,7,.682,1.13,-5.07,9,0,6,2,8,3,1722,1559,68.8,113.8,.273,.361,.596,51.4,59.0,10.1,7.8,.580,14.0,25.5,.184
College of Charleston,22,21,1,.955,8.08,-3.02,9,0,13,0,8,1,1761,1499,70.8,111.8,.311,.484,.548,54.1,48.9,10.1,9.0,.515,14.7,35.9,.229
Colorado,21,12,9,.571,12.21,6.54,4,6,9,2,1,5,1517,1398,71.3,101.3,.329,.333,.529,53.7,50.3,11.4,9.9,.501,17.4,32.6,.220
Colorado State,21,10,11,.476,5.96,4.26,2,6,7,4,2,5,1567,1490,67.6,108.4,.298,.410,.592,47.1,67.1,9.3,8.3,.567,15.1,17.3,.217
Columbia,21,6,15,.286,-14.34,-3.03,1,5,5,7,1,8,1412,1534,70.0,95.0,.298,.407,.495,48.2,49.7,9.6,4.6,.460,17.4,29.7,.210


Connecticut,21,16,5,.762,21.99,6.18,5,5,11,1,2,4,1666,1334,70.1,113.3,.332,.427,.568,55.7,63.9,10.0,12.7,.534,15.4,35.7,.247
Coppin State,22,6,16,.273,-12.70,-0.38,1,4,4,3,2,13,1616,1887,74.2,96.7,.358,.451,.543,41.7,43.5,11.0,7.0,.506,18.0,18.3,.258
Cornell,19,14,5,.737,3.90,-3.63,4,2,8,1,6,4,1617,1410,72.7,117.0,.268,.496,.605,50.5,64.4,13.6,5.9,.581,14.8,30.6,.201
Creighton,19,11,8,.579,17.42,9.00,5,3,8,1,1,4,1450,1290,70.5,108.3,.280,.409,.565,52.4,57.0,7.7,10.7,.538,14.5,25.7,.205
Dartmouth,20,7,13,.350,-8.54,-2.70,3,3,4,3,3,8,1404,1396,70.9,97.8,.277,.422,.529,49.7,49.8,7.8,10.5,.505,18.1,24.6,.188
Davidson,20,10,10,.500,1.40,1.29,3,5,5,4,3,5,1401,1376,67.1,102.4,.344,.361,.540,48.2,52.0,8.6,4.0,.501,15.4,24.7,.254
Dayton,20,13,7,.650,9.69,1.09,5,2,10,1,2,3,1364,1192,65.1,104.0,.374,.353,.555,54.8,59.5,7.5,14.4,.523,18.2,31.4,.262
Delaware,21,11,10,.524,-3.09,-1.89,3,5,7,3,2,7,1470,1470,67.7,102.9,.326,.367,.537,47.8,49.3,10.6,11.9,.503,15.1,25.5,.234
Delaware State,18,2,16,.111,-17.81,-1.43,1,4,1,4,1,12,1136,1367,68.3,91.8,.268,.311,.499,48.2,52.1,9.7,8.6,.471,20.2,29.5,.183
Denver,22,12,10,.545,-8.38,-5.58,3,6,6,3,4,7,1639,1662,69.1,105.4,.455,.241,.576,53.6,43.4,7.7,8.9,.543,18.9,30.3,.317
DePaul,21,9,12,.429,2.54,5.87,3,7,7,3,2,7,1503,1573,70.1,100.9,.289,.401,.532,46.1,53.8,9.5,9.9,.494,16.2,26.0,.223
Detroit Mercy,21,8,13,.381,-4.31,-1.86,4,6,5,3,3,9,1593,1614,67.6,110.9,.274,.444,.548,50.2,45.8,8.1,5.1,.515,14.2,33.5,.207
Drake,22,16,6,.727,5.45,-1.45,7,4,10,1,2,5,1624,1403,67.9,107.5,.279,.381,.563,52.5,50.9,7.9,7.4,.529,14.8,25.6,.216
Drexel,20,12,8,.600,-0.08,-4.92,6,2,9,2,2,4,1352,1220,63.9,104.4,.248,.406,.522,52.0,48.8,9.0,7.8,.500,14.3,31.4,.167
Duke,20,14,6,.700,13.99,6.09,5,4,10,0,1,4,1443,1285,66.5,108.4,.306,.359,.530,56.1,55.9,8.8,11.9,.489,15.3,38.4,.236
Duquesne,20,13,7,.650,3.88,0.08,3,4,11,3,1,4,1482,1406,68.1,108.5,.261,.380,.529,50.5,55.1,11.3,10.2,.506,14.4,35.7,.177
East Carolina,21,11,10,.524,-1.55,-1.65,2,6,7,4,1,5,1457,1455,68.1,101.8,.376,.432,.514,52.5,57.4,9.3,6.6,.478,16.2,34.3,.255
East Tennessee State,21,8,13,.381,-5.64,-4.75,4,4,3,8,4,4,1464,1431,68.0,102.6,.279,.339,.532,52.4,48.1,9.8,9.2,.512,17.5,32.8,.183
Eastern Illinois,21,7,14,.333,-13.19,-4.72,3,5,5,5,2,8,1433,1482,71.4,95.5,.356,.288,.503,46.6,56.6,12.5,9.7,.476,16.7,26.2,.223
Eastern Kentucky,21,13,8,.619,-2.32,-0.10,6,2,9,1,3,6,1673,1529,74.5,107.0,.249,.396,.525,51.5,54.0,12.2,12.7,.508,14.4,34.4,.157


Eastern Michigan,20,4,16,.200,-12.35,-1.88,1,6,3,5,1,8,1445,1635,71.2,100.8,.323,.335,.524,46.3,36.9,9.4,6.3,.484,14.8,25.4,.240
Eastern Washington,21,14,7,.667,0.22,-1.34,8,0,7,1,5,5,1590,1483,69.8,108.5,.296,.435,.584,53.8,55.6,8.3,10.0,.554,18.0,29.5,.224
Elon,20,2,18,.100,-13.09,-1.53,0,7,2,6,0,10,1311,1462,68.6,95.6,.306,.417,.509,46.8,52.7,10.0,6.2,.474,16.7,25.0,.219
Evansville,21,4,17,.190,-14.04,-0.66,0,10,2,6,1,9,1299,1580,69.2,89.4,.317,.333,.478,46.3,45.5,9.3,6.1,.452,16.4,21.9,.195
Fairfield,19,9,10,.474,-5.36,-3.92,5,4,5,3,2,6,1230,1215,65.4,98.3,.384,.383,.505,50.3,45.0,7.9,10.7,.458,15.9,29.7,.279
Fairleigh Dickinson,22,12,10,.545,-11.36,-9.41,5,2,6,3,5,6,1720,1670,71.0,108.8,.260,.390,.542,50.1,50.6,11.6,5.6,.510,13.8,31.9,.198
Florida,19,11,8,.579,13.14,6.14,4,3,6,3,3,2,1374,1241,70.0,103.3,.353,.362,.541,49.9,48.5,9.3,14.4,.500,15.2,25.6,.263
Florida A&M,18,3,15,.167,-18.45,-0.32,1,6,3,2,0,13,1012,1286,66.4,84.1,.298,.328,.465,46.1,46.4,9.8,9.3,.432,21.7,28.8,.196
Florida Atlantic,20,19,1,.950,11.90,-0.49,9,0,11,0,8,1,1549,1268,68.5,112.3,.294,.436,.573,54.8,54.7,10.2,6.5,.550,15.4,31.7,.205
Florida Gulf Coast,21,14,7,.667,-0.52,-2.02,4,4,7,1,4,6,1475,1401,66.6,104.9,.293,.456,.538,51.3,52.3,10.3,10.4,.505,16.0,30.9,.216
Florida International,20,9,11,.450,-5.41,-0.69,3,6,8,4,1,7,1433,1492,71.4,99.1,.286,.376,.544,46.0,46.5,12.1,12.4,.520,18.8,25.2,.196
Florida State,21,7,14,.333,1.51,6.17,5,5,5,6,2,4,1455,1553,68.7,100.8,.319,.332,.532,47.6,54.7,8.5,11.5,.495,16.1,26.2,.234
Fordham,19,15,4,.789,0.65,-3.93,3,3,12,2,3,2,1363,1276,70.3,101.4,.356,.421,.536,52.1,53.9,10.0,14.2,.492,17.4,29.7,.269
Fresno State,19,7,12,.368,1.72,4.55,3,5,5,3,2,6,1158,1196,63.7,95.6,.268,.398,.514,48.8,51.2,9.3,11.0,.481,17.3,24.5,.197
Furman,21,15,6,.714,3.19,-3.31,6,2,8,2,5,2,1730,1522,71.2,115.0,.292,.461,.602,51.7,59.8,9.8,8.2,.575,15.2,27.7,.221
Gardner-Webb,20,9,11,.450,-3.45,-2.84,4,4,4,3,4,8,1418,1292,68.2,102.7,.306,.341,.537,52.6,49.3,10.8,16.1,.520,16.6,30.3,.191
George Mason,20,12,8,.600,4.26,0.46,4,3,10,1,1,4,1430,1354,68.2,104.2,.349,.398,.561,53.4,57.6,6.6,9.6,.543,18.1,28.9,.221
George Washington,19,10,9,.526,0.69,-0.81,4,2,8,3,2,3,1436,1382,69.5,108.7,.343,.415,.577,49.6,47.2,8.0,9.0,.542,15.8,25.9,.258
