School Name,G Overall,W Overall,L Overall,W-L% Overall,SRS Overall,SOS Overall,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp,Pace,Opp. ORtg,Opp. FTr,Opp. 3PAr,Opp. TS%,Opp. TRB%,Opp. AST%,Opp. STL%,Opp. BLK%,Opp. eFG%,Opp. TOV%,Opp. ORB%,Opp. FT/FGA
Kentucky,20,14,6,.700,13.96,4.61,5,3,11,1,2,3,1514,1327,66.9,97.9,.282,.352,.516,43.9,45.6,8.3,4.7,.481,16.2,25.6,.209
La Salle,20,8,12,.400,-5.09,0.01,2,5,5,6,3,4,1360,1462,68.8,104.3,.301,.342,.544,51.8,52.6,8.9,12.9,.513,16.7,31.0,.218


Lafayette,22,7,15,.318,-5.93,-2.88,5,4,3,4,3,11,1361,1428,62.8,101.1,.298,.413,.537,53.7,52.9,9.4,9.3,.510,17.2,28.0,.206
Lamar,20,6,14,.300,-18.27,-5.27,2,5,5,5,0,8,1360,1515,68.9,108.6,.297,.455,.540,49.6,64.9,11.8,9.4,.520,15.3,34.1,.193
Lehigh,20,12,8,.600,-7.98,-4.82,7,2,7,2,5,6,1434,1394,71.1,98.0,.265,.361,.515,50.5,48.5,9.1,9.2,.493,15.4,24.5,.175
Liberty,21,16,5,.762,8.23,-2.05,7,1,11,1,3,3,1570,1229,65.6,89.2,.281,.355,.501,47.8,43.8,9.4,11.0,.468,19.7,21.6,.200
Lindenwood,21,7,14,.333,-14.67,-4.28,2,6,5,3,2,9,1426,1504,69.6,101.7,.275,.434,.532,52.4,55.2,10.3,8.1,.506,16.8,29.3,.191
Lipscomb,21,13,8,.619,-1.66,-4.27,5,3,10,1,3,7,1586,1423,69.6,96.8,.224,.375,.501,47.0,41.1,9.3,7.1,.474,15.4,26.1,.161
Little Rock,21,6,15,.286,-13.63,-5.95,2,6,6,3,0,12,1525,1631,72.7,106.9,.364,.376,.560,51.4,51.5,8.6,8.5,.538,17.1,31.2,.239
Long Beach State,20,10,10,.500,-0.32,0.96,4,4,5,3,3,6,1541,1490,73.5,98.9,.300,.412,.518,46.0,55.4,9.3,7.8,.481,16.7,27.6,.223
Long Island University,20,2,18,.100,-24.85,-2.58,0,8,2,7,0,10,1341,1625,73.9,110.0,.296,.348,.568,53.2,58.9,11.2,8.5,.546,15.5,31.1,.203
Longwood,21,15,6,.714,-0.31,-6.36,7,1,9,1,6,5,1586,1387,68.6,96.3,.321,.453,.534,46.3,56.7,9.3,9.8,.504,19.8,26.1,.224
Louisiana,20,16,4,.800,1.95,-1.88,6,2,7,0,7,4,1601,1416,70.4,99.9,.279,.317,.526,45.3,43.7,9.0,8.0,.493,16.2,26.0,.206
Louisiana State,20,12,8,.600,4.37,5.07,1,7,9,3,0,4,1330,1344,67.0,100.3,.269,.412,.520,50.2,49.1,9.1,9.6,.492,16.6,30.2,.190
Louisiana Tech,20,11,9,.550,0.95,0.42,4,5,7,3,3,6,1511,1385,69.5,97.7,.384,.435,.549,48.2,63.4,9.8,9.9,.515,20.9,26.9,.267
Louisiana-Monroe,21,9,12,.429,-8.80,-0.75,5,3,6,4,3,6,1459,1448,68.2,101.1,.270,.398,.535,50.8,55.5,9.3,9.0,.502,18.4,32.4,.204
Louisville,20,2,18,.100,-7.09,5.61,0,9,2,10,0,5,1250,1504,68.9,109.1,.297,.390,.570,51.7,51.4,10.6,9.3,.545,15.7,29.7,.211
Loyola (IL),20,7,13,.350,-5.39,0.01,1,7,5,4,1,5,1333,1441,67.0,106.3,.378,.366,.555,50.4,49.0,12.2,8.9,.513,16.0,29.0,.285
Loyola (MD),22,7,15,.318,-14.45,-4.95,2,7,4,5,2,9,1406,1522,66.7,103.7,.278,.363,.570,51.6,53.1,11.1,7.7,.545,19.4,28.7,.199
Loyola Marymount,21,14,7,.667,7.36,4.16,4,3,9,2,3,4,1592,1478,69.6,100.0,.334,.339,.524,46.9,47.3,7.4,8.0,.491,14.7,23.9,.233
Maine,20,8,12,.400,-7.87,-3.43,2,5,5,3,3,8,1403,1402,67.5,102.6,.294,.371,.553,52.2,50.6,8.1,9.0,.527,18.3,28.4,.206
Manhattan,18,6,12,.333,-10.96,-4.61,4,5,3,6,2,5,1229,1290,68.2,103.0,.310,.364,.538,53.6,53.8,12.4,8.9,.505,18.3,35.1,.224


Marist,18,7,11,.389,-9.65,-6.70,3,6,3,6,3,5,1128,1181,65.5,99.5,.266,.394,.523,51.6,48.0,8.8,8.1,.495,16.3,26.6,.190
Marquette,21,16,5,.762,17.86,6.58,8,2,11,1,4,3,1728,1491,70.2,99.3,.300,.370,.534,52.5,57.5,8.6,9.6,.508,19.6,32.5,.205
Marshall,21,17,4,.810,8.87,-2.88,6,2,12,1,5,3,1719,1458,72.3,95.5,.246,.350,.494,47.7,48.4,8.3,3.6,.474,17.4,31.5,.155
Maryland,20,13,7,.650,13.36,6.66,4,5,10,1,1,5,1408,1274,66.3,96.1,.275,.318,.494,48.6,45.2,7.8,9.4,.460,16.0,29.6,.198
Maryland-Baltimore County,22,14,8,.636,-3.30,-6.06,4,3,10,2,4,6,1699,1614,69.0,106.3,.249,.398,.557,49.5,51.4,7.6,8.2,.532,15.3,26.0,.182
Maryland-Eastern Shore,19,11,8,.579,-8.49,-1.80,4,1,7,0,4,8,1286,1275,69.7,95.6,.338,.382,.541,52.0,52.9,9.4,8.7,.501,22.3,30.6,.253
Massachusetts,20,12,8,.600,1.19,0.29,3,5,6,3,2,4,1427,1409,71.1,99.1,.328,.410,.528,47.7,57.6,10.3,8.0,.497,17.5,28.2,.227
Massachusetts-Lowell,22,17,5,.773,-0.90,-8.05,5,3,11,0,6,5,1726,1466,70.9,93.4,.324,.318,.494,43.3,47.7,12.3,7.4,.449,17.2,26.2,.242
McNeese State,20,5,15,.250,-11.95,-0.58,2,5,3,6,2,9,1360,1520,68.0,111.0,.349,.455,.587,51.2,68.4,10.0,7.6,.568,17.9,32.9,.233
Memphis,20,15,5,.750,12.40,5.35,5,2,9,0,3,4,1577,1436,72.9,97.4,.363,.433,.510,50.1,57.4,9.4,9.0,.460,18.6,33.3,.278
Mercer,22,10,12,.455,-6.04,-3.29,3,6,5,4,3,7,1542,1505,66.0,102.5,.349,.336,.527,49.1,50.2,8.2,6.9,.488,15.5,29.3,.253
Merrimack,21,6,15,.286,-14.02,-4.18,4,3,3,5,3,8,1203,1315,65.9,94.9,.262,.374,.518,58.9,60.1,10.3,11.8,.482,22.5,37.0,.200
Miami (FL),20,16,4,.800,12.26,3.56,7,3,11,0,4,3,1563,1389,68.2,101.2,.248,.355,.515,48.6,53.9,8.8,7.5,.486,15.9,32.3,.179
Miami (OH),20,7,13,.350,-8.73,-0.97,1,6,6,6,1,6,1486,1500,71.0,105.6,.355,.379,.569,51.5,51.4,11.5,9.1,.535,18.3,30.8,.259
Michigan,19,11,8,.579,10.55,5.81,5,3,8,2,1,3,1411,1321,69.0,99.4,.252,.365,.502,50.1,45.7,7.2,7.0,.476,13.9,27.1,.173
Michigan State,20,13,7,.650,12.99,9.19,5,4,8,2,3,3,1393,1317,65.7,98.9,.276,.378,.499,46.9,53.5,8.9,10.1,.463,12.7,24.3,.202
Middle Tennessee,20,13,7,.650,3.41,1.02,6,3,7,2,3,5,1394,1301,66.9,96.1,.345,.346,.537,47.8,47.0,9.7,7.4,.496,20.7,27.3,.257
Milwaukee,20,14,6,.700,-1.67,-2.55,8,2,10,2,4,4,1559,1385,71.6,95.5,.287,.422,.487,47.5,50.9,9.6,9.1,.452,16.6,30.9,.203
Minnesota,19,7,12,.368,0.88,5.62,1,8,5,7,1,4,1182,1272,65.3,101.2,.215,.315,.501,52.5,52.2,9.5,11.4,.474,14.0,31.5,.156
Mississippi,20,9,11,.450,7.10,6.25,1,7,6,6,1,4,1350,1333,66.9,99.0,.278,.328,.508,47.7,56.5,11.9,7.4,.476,15.9,29.9,.198


Mississippi State,20,12,8,.600,11.38,5.23,1,7,7,3,1,4,1297,1174,65.7,89.3,.235,.438,.490,47.5,57.5,8.5,8.2,.458,20.8,28.8,.175
Mississippi Valley State,22,2,20,.091,-18.86,-1.32,1,7,2,3,0,15,1260,1646,67.7,110.5,.381,.416,.571,52.9,56.2,12.8,10.1,.546,16.6,33.1,.256
Missouri,20,15,5,.750,11.75,4.40,4,4,11,2,2,3,1667,1520,72.7,103.9,.357,.437,.560,54.6,54.6,9.1,6.4,.522,21.3,37.3,.266
Missouri State,21,11,10,.524,2.01,0.61,7,4,7,3,3,5,1376,1313,63.6,97.2,.298,.393,.520,47.5,46.6,9.5,11.5,.488,17.6,26.4,.211
Monmouth,20,1,19,.050,-19.80,1.30,0,7,0,8,1,11,1148,1570,68.4,114.9,.393,.451,.600,53.9,54.6,11.1,10.8,.572,17.6,35.0,.280
Montana,20,9,11,.450,-0.23,-0.65,3,5,6,4,2,7,1383,1363,65.1,104.1,.422,.370,.549,48.8,49.6,8.2,7.2,.495,14.4,22.4,.328
Montana State,21,13,8,.619,2.41,-0.70,6,2,7,1,6,4,1580,1394,69.8,95.2,.352,.376,.518,47.5,38.3,8.9,5.3,.476,17.7,23.2,.256
Morehead State,21,12,9,.571,-10.13,-3.19,5,3,8,2,4,7,1504,1453,68.5,101.1,.283,.336,.533,46.9,44.3,8.3,10.8,.500,15.5,23.6,.209
Morgan State,20,11,9,.550,-7.89,-2.57,4,1,8,0,2,8,1584,1440,74.0,95.6,.427,.347,.522,50.2,57.8,10.2,9.3,.481,21.8,35.5,.293
Mount St. Mary's,20,7,13,.350,-8.13,-4.66,3,6,3,5,4,8,1241,1285,66.0,97.4,.276,.371,.505,50.8,48.4,12.2,9.6,.478,17.4,30.6,.187
Murray State,21,11,10,.524,-1.44,-0.99,6,5,7,1,2,8,1489,1461,67.3,102.2,.261,.420,.516,48.5,52.5,8.7,6.4,.488,14.2,27.6,.183
Navy,21,11,10,.524,-4.02,-4.52,4,5,6,3,5,7,1482,1433,65.5,103.0,.298,.406,.541,48.4,54.4,9.9,8.5,.517,16.7,27.6,.201
NC State,21,16,5,.762,13.10,3.44,6,4,11,1,2,3,1665,1462,71.1,97.4,.349,.333,.524,48.4,46.3,7.9,6.7,.487,17.7,26.0,.249
Nebraska,21,10,11,.476,6.65,8.41,3,7,7,3,2,6,1386,1423,66.9,100.1,.211,.430,.513,49.7,58.5,10.7,11.8,.495,15.7,28.2,.139
Nevada,21,16,5,.762,11.91,6.41,6,2,10,0,4,4,1554,1400,67.0,97.8,.315,.394,.517,49.6,52.1,7.3,6.8,.480,16.7,25.7,.226
Nevada-Las Vegas,20,13,7,.650,8.73,4.15,2,6,7,4,2,3,1528,1369,70.8,95.5,.276,.476,.537,51.7,58.7,8.8,7.7,.512,23.0,31.4,.192
New Hampshire,19,9,10,.474,-7.68,-5.85,4,3,6,3,3,7,1294,1250,65.6,99.7,.326,.350,.510,49.5,43.8,8.1,7.3,.474,14.6,25.9,.230
New Mexico,21,18,3,.857,13.82,3.52,5,3,13,1,4,2,1732,1487,72.8,95.5,.281,.393,.503,46.3,51.3,8.5,6.7,.478,16.0,24.4,.186
New Mexico State,20,7,13,.350,-1.41,3.36,0,8,4,4,1,7,1475,1423,71.3,99.9,.359,.458,.538,48.4,51.9,7.8,7.1,.504,17.6,25.7,.252
New Orleans,18,6,12,.333,-15.20,-4.70,3,4,5,5,1,7,1274,1432,73.1,107.8,.361,.372,.579,53.0,51.2,12.1,6.1,.550,18.1,31.7,.257


Niagara,19,10,9,.526,-6.81,-4.53,5,5,5,2,3,7,1225,1228,63.3,101.5,.347,.285,.520,51.0,41.4,8.5,11.0,.478,14.9,29.0,.254
Nicholls State,19,10,9,.526,-6.75,-0.12,6,2,7,0,3,8,1413,1348,73.2,96.8,.465,.383,.538,51.3,59.8,8.2,7.1,.500,21.6,31.2,.314
NJIT,20,6,14,.300,-10.72,-5.04,3,4,4,5,2,9,1344,1424,66.7,105.3,.272,.379,.530,52.0,48.9,7.7,9.2,.506,13.9,29.4,.185
Norfolk State,20,13,7,.650,-3.98,-2.79,3,2,6,1,4,6,1513,1379,68.3,100.7,.366,.490,.524,47.1,64.9,9.9,8.2,.494,17.0,29.6,.243
North Alabama,21,11,10,.524,-11.14,-4.25,3,5,5,2,5,8,1566,1555,70.3,104.6,.314,.365,.546,49.3,51.8,8.3,8.6,.520,14.7,25.1,.216
North Carolina,21,15,6,.714,14.41,7.22,7,3,10,0,2,4,1664,1513,70.1,99.7,.243,.341,.517,46.6,44.3,8.4,8.2,.494,14.2,24.0,.165
North Carolina A&T,22,10,12,.455,-7.95,-0.42,5,4,5,3,4,6,1593,1618,70.8,103.4,.294,.361,.529,52.6,47.6,6.9,6.6,.499,15.0,29.7,.207
North Carolina Central,19,10,9,.526,-3.44,-2.64,3,2,9,1,1,8,1459,1263,70.7,92.8,.313,.391,.521,47.2,57.1,9.1,11.0,.499,20.9,27.1,.199
North Dakota,22,7,15,.318,-8.81,-1.71,1,8,5,7,2,8,1518,1578,67.6,105.6,.276,.328,.550,50.9,40.6,9.8,9.7,.524,15.1,27.4,.196
North Dakota State,21,8,13,.381,-5.89,-0.42,5,4,4,4,4,7,1508,1546,69.5,106.0,.288,.328,.544,49.1,43.9,10.1,8.2,.513,12.8,23.6,.210
North Florida,20,8,12,.400,-9.23,-0.40,3,5,7,1,1,11,1486,1565,70.8,109.8,.243,.279,.533,53.8,55.1,9.4,11.5,.508,11.9,32.7,.173
North Texas,21,16,5,.762,7.64,1.75,7,3,6,2,6,2,1306,1158,59.7,92.3,.438,.334,.501,46.1,42.8,8.9,8.4,.449,19.0,26.8,.312
Northeastern,19,8,11,.421,-7.31,-3.31,4,4,4,4,3,6,1250,1326,67.7,102.4,.300,.290,.518,47.3,44.2,11.5,9.9,.488,13.3,27.2,.208
Northern Arizona,21,5,16,.238,-7.32,1.57,1,7,4,5,1,10,1500,1582,69.1,107.1,.420,.386,.575,50.2,54.1,8.0,9.8,.533,16.4,24.3,.314
Northern Colorado,20,7,13,.350,-6.50,1.35,2,6,2,6,3,7,1422,1572,69.3,111.9,.310,.318,.569,52.9,48.3,8.3,11.4,.541,13.3,28.5,.224
Northern Illinois,20,8,12,.400,-7.55,-1.05,4,3,3,3,4,8,1408,1505,71.4,105.4,.370,.370,.549,52.9,49.9,10.1,10.2,.518,17.0,31.7,.255
Northern Iowa,21,12,9,.571,-0.03,-1.63,8,3,8,4,3,3,1480,1392,68.0,97.5,.230,.480,.538,48.9,49.9,9.6,7.1,.515,18.3,22.6,.164
Northern Kentucky,21,13,8,.619,-1.79,-1.84,8,2,11,2,2,3,1416,1335,64.1,96.3,.317,.398,.535,50.7,62.7,10.1,7.2,.510,22.0,32.0,.211
Northwestern,19,14,5,.737,13.57,5.36,5,3,9,3,4,1,1316,1160,67.4,90.6,.277,.437,.496,48.8,61.6,7.4,11.7,.467,19.7,26.4,.189
Northwestern State,20,12,8,.600,-3.17,-2.54,4,3,5,2,6,6,1457,1458,68.6,105.0,.394,.354,.555,52.7,54.9,8.4,9.4,.512,19.0,36.3,.294


Notre Dame,21,9,12,.429,2.01,3.54,1,9,9,5,0,5,1480,1512,65.2,109.8,.244,.333,.552,52.8,50.4,7.9,9.6,.522,11.9,25.7,.188
Oakland,21,9,12,.429,-7.18,-0.83,7,3,5,3,4,6,1533,1595,69.3,107.6,.204,.394,.552,55.4,62.5,8.2,7.9,.530,16.4,33.8,.149
Ohio,20,11,9,.550,1.01,-1.04,3,4,9,1,2,7,1558,1450,69.8,103.2,.313,.395,.525,47.7,50.2,9.5,8.7,.500,15.0,29.0,.206
Ohio State,20,11,9,.550,16.66,6.51,3,6,8,2,1,5,1539,1336,67.7,97.4,.274,.366,.495,46.6,48.9,7.3,6.9,.460,14.8,28.1,.199
Oklahoma,20,11,9,.550,11.35,8.70,2,6,6,4,1,4,1345,1292,65.0,98.8,.298,.309,.505,49.3,40.1,10.2,9.6,.468,13.5,25.7,.216
Oklahoma State,20,11,9,.550,13.35,8.50,3,5,8,2,1,5,1363,1266,68.3,92.1,.309,.381,.481,48.1,51.4,10.8,7.4,.437,17.2,28.9,.229
Old Dominion,20,11,9,.550,0.33,-0.52,3,5,9,3,1,4,1360,1330,65.4,101.1,.335,.434,.516,47.9,55.2,8.7,8.8,.486,15.5,29.0,.225
Omaha,21,7,14,.333,-10.14,0.26,3,6,4,4,1,10,1442,1618,68.7,112.2,.326,.406,.578,51.8,54.6,11.9,8.3,.547,14.8,29.3,.240
Oral Roberts,21,17,4,.810,9.16,0.34,8,0,11,0,6,4,1768,1514,72.8,99.0,.217,.401,.516,49.9,46.2,7.7,8.4,.492,15.9,27.0,.154
Oregon,20,11,9,.550,12.77,8.87,5,4,8,4,2,3,1404,1326,66.9,99.1,.227,.393,.512,46.6,51.0,8.6,6.9,.480,15.4,26.8,.174
Oregon State,20,8,12,.400,0.24,4.24,2,7,7,3,1,6,1276,1335,66.3,100.8,.341,.382,.522,51.6,55.7,9.7,9.1,.482,15.6,28.6,.249
Pacific,22,10,12,.455,-1.58,0.22,3,4,4,9,6,3,1652,1670,70.6,106.3,.366,.375,.557,53.8,50.1,7.7,9.1,.532,16.9,31.3,.245
Penn State,20,13,7,.650,11.73,5.53,4,5,10,2,1,4,1462,1338,65.9,100.3,.263,.374,.508,52.4,55.9,6.4,10.0,.479,13.0,25.0,.185
Pennsylvania,21,10,11,.476,-1.06,-1.11,2,4,5,4,5,7,1536,1503,67.2,104.7,.329,.440,.521,48.4,52.1,9.3,8.3,.491,12.9,28.1,.224
Pepperdine,21,7,14,.333,1.19,5.13,0,7,6,5,0,8,1622,1660,74.1,105.4,.297,.338,.536,50.5,50.2,10.0,5.4,.507,14.3,28.4,.209
Pittsburgh,21,14,7,.667,9.74,3.50,7,3,9,3,5,2,1563,1432,68.6,99.4,.285,.394,.505,47.9,51.6,8.6,10.1,.476,15.0,27.7,.194
Portland,22,11,11,.500,2.01,3.61,3,4,9,4,1,6,1708,1692,72.1,106.7,.276,.424,.551,51.4,50.2,9.0,5.1,.529,15.5,28.8,.189
Portland State,20,9,11,.450,-3.66,1.06,3,4,4,2,4,7,1538,1467,72.4,101.3,.479,.389,.568,52.1,54.7,7.3,6.1,.519,20.8,30.0,.354
Prairie View,21,7,14,.333,-8.76,-2.97,3,5,5,2,2,11,1398,1466,70.4,98.0,.453,.370,.546,48.5,50.5,8.1,10.4,.500,19.8,27.2,.327
Presbyterian,22,5,17,.227,-12.18,-4.88,1,8,5,4,0,11,1433,1525,64.8,105.4,.364,.360,.551,49.3,47.0,10.6,11.6,.528,16.7,30.5,.236


Princeton,19,14,5,.737,3.95,-4.11,5,1,6,2,6,2,1439,1250,69.6,93.8,.267,.324,.491,43.9,43.5,9.3,8.7,.464,13.9,20.7,.179
Providence,21,16,5,.762,14.02,3.55,8,2,12,0,4,3,1655,1435,69.3,97.4,.250,.317,.508,43.2,44.1,10.1,9.3,.478,15.4,26.0,.181
Purdue,20,19,1,.950,19.41,5.66,8,1,9,1,6,0,1471,1196,64.2,92.6,.159,.359,.472,41.7,49.8,8.6,7.9,.449,14.2,24.5,.116
Purdue-Fort Wayne,22,14,8,.636,-2.48,-4.43,6,5,8,3,5,4,1653,1469,70.5,94.1,.222,.398,.508,47.3,45.5,9.3,9.2,.485,16.7,23.0,.155
Queens (NC),21,13,8,.619,-4.12,-5.85,3,5,6,2,5,6,1706,1577,71.2,105.4,.241,.358,.542,45.7,47.3,9.6,11.6,.518,13.6,25.7,.172
Quinnipiac,20,15,5,.750,1.39,-4.50,6,3,6,2,7,2,1457,1327,69.5,95.4,.266,.381,.494,45.9,46.3,9.1,10.3,.464,15.1,25.9,.185
Radford,21,12,9,.571,-0.44,-3.23,6,2,7,1,4,8,1512,1363,66.8,97.1,.309,.382,.534,47.7,48.6,8.8,5.8,.505,19.2,26.5,.216
Rhode Island,20,7,13,.350,-1.49,1.16,3,5,6,5,0,6,1347,1400,68.3,101.2,.322,.335,.513,48.3,52.1,10.3,13.7,.479,14.7,30.0,.226
Rice,19,14,5,.737,0.82,-1.06,5,3,9,2,5,3,1549,1399,71.9,99.7,.231,.374,.528,46.8,46.6,10.3,7.5,.513,15.8,23.8,.147
Richmond,21,11,10,.524,3.39,0.39,4,4,9,2,1,6,1448,1385,66.6,97.9,.264,.416,.509,50.0,48.4,9.3,10.9,.477,14.7,24.5,.192
Rider,18,9,9,.500,-4.04,-3.27,6,3,5,2,4,5,1246,1222,66.2,102.6,.372,.448,.526,47.4,57.8,9.7,7.5,.502,15.1,29.3,.235
Robert Morris,21,9,12,.429,-6.23,-3.92,4,6,5,2,4,7,1443,1397,67.8,98.1,.307,.336,.522,49.5,46.4,9.8,7.8,.485,17.2,27.1,.227
Rutgers,20,14,6,.700,18.32,5.37,6,3,12,2,2,3,1399,1140,66.9,84.7,.265,.428,.466,46.3,54.5,9.4,9.3,.436,20.3,26.7,.177
Sacramento State,20,11,9,.550,-2.71,-0.93,4,3,7,0,4,6,1347,1343,64.6,101.4,.223,.293,.516,46.2,46.9,11.1,9.1,.493,13.4,25.3,.156
Sacred Heart,22,11,11,.500,-12.53,-9.34,4,3,5,3,6,8,1554,1580,71.6,100.3,.259,.388,.531,50.8,54.3,10.8,7.5,.500,17.0,28.9,.191
Saint Francis (PA),19,8,11,.421,-10.98,-5.57,5,1,7,3,1,8,1396,1391,70.0,104.5,.302,.339,.535,50.1,51.2,9.2,7.8,.510,14.0,27.5,.204
Saint Joseph's,20,9,11,.450,-0.69,-0.34,3,5,7,4,2,4,1444,1451,69.7,102.8,.333,.441,.539,51.0,61.6,10.2,12.2,.509,17.0,30.6,.230
Saint Louis,20,14,6,.700,7.08,2.72,6,1,10,2,3,3,1538,1412,70.6,100.1,.312,.373,.502,46.0,52.4,8.6,9.8,.464,12.9,25.8,.226
Saint Mary's (CA),22,18,4,.818,20.63,5.97,7,0,12,2,3,0,1586,1258,64.6,88.0,.302,.313,.484,43.5,36.1,7.1,10.0,.443,18.1,21.0,.220
Saint Peter's,20,8,12,.400,-10.02,-4.81,3,8,6,4,2,8,1231,1283,64.1,99.5,.542,.383,.531,46.5,49.1,7.4,12.8,.477,17.2,27.7,.382


Sam Houston State,20,15,5,.750,8.71,1.58,5,3,7,1,6,4,1559,1188,68.8,85.8,.352,.450,.508,44.7,51.9,8.2,8.1,.467,24.6,25.3,.252
Samford,22,14,8,.636,0.69,-3.92,8,1,10,2,4,6,1723,1547,69.3,99.7,.359,.426,.537,47.5,58.0,9.4,7.8,.503,18.0,26.8,.250
San Diego,21,9,12,.429,-1.10,2.37,2,5,7,5,2,5,1638,1653,70.5,110.3,.332,.403,.591,50.4,58.8,7.4,7.4,.572,17.2,28.1,.225
San Diego State,20,16,4,.800,15.05,7.73,7,1,10,1,5,0,1511,1334,68.7,95.9,.278,.423,.529,46.5,46.9,10.1,7.9,.497,18.7,24.1,.204
San Francisco,23,14,9,.609,6.57,1.97,3,5,9,4,3,3,1724,1606,71.0,98.3,.342,.327,.526,47.3,41.2,9.4,6.2,.484,16.2,24.2,.254
San Jose State,21,13,8,.619,4.40,2.85,4,4,8,2,3,5,1438,1385,63.8,102.8,.272,.370,.514,43.7,50.4,8.2,7.3,.475,11.0,22.9,.210
Santa Clara,22,16,6,.727,9.18,5.85,4,3,11,3,2,2,1645,1562,70.8,99.7,.226,.381,.522,45.6,52.7,9.1,7.3,.498,15.1,23.9,.160
Seattle,20,16,4,.800,4.64,-0.14,7,0,9,0,6,2,1516,1343,71.5,93.3,.344,.351,.497,47.0,51.2,8.1,10.3,.461,16.4,24.4,.234
Seton Hall,21,12,9,.571,11.14,7.94,5,5,8,3,3,4,1443,1352,68.4,94.1,.304,.365,.497,48.1,56.0,11.6,11.7,.459,18.2,29.7,.220
Siena,20,13,7,.650,-1.22,-3.77,7,2,6,2,5,4,1398,1347,67.0,99.9,.322,.273,.526,47.4,43.5,11.0,8.0,.498,16.0,26.7,.217
South Alabama,20,8,12,.400,-1.42,0.80,2,6,5,3,1,8,1387,1360,68.2,99.1,.271,.280,.506,53.8,44.1,7.8,7.3,.474,14.5,28.6,.193
South Carolina,20,8,12,.400,-5.99,3.46,1,6,6,4,2,4,1272,1461,65.8,109.8,.271,.355,.550,50.5,53.4,10.4,10.7,.533,13.7,31.4,.176
South Carolina State,21,3,18,.143,-17.01,-2.81,0,5,2,3,1,15,1561,1792,73.7,114.4,.454,.385,.610,51.2,60.1,9.9,11.1,.580,17.6,32.9,.322
South Carolina Upstate,20,9,11,.450,-9.91,-3.46,4,5,7,1,2,10,1375,1409,68.7,102.0,.441,.367,.533,53.7,46.1,9.8,6.6,.488,18.2,34.2,.313
South Dakota,20,9,11,.450,-10.01,-2.51,4,4,6,4,1,6,1373,1451,66.9,108.4,.293,.381,.547,49.9,48.0,10.5,9.6,.515,13.3,27.7,.215
South Dakota State,20,11,9,.550,-1.63,1.27,6,2,6,1,3,7,1367,1393,69.3,99.9,.231,.403,.530,52.2,48.7,10.5,10.7,.503,16.3,25.6,.169
South Florida,21,9,12,.429,3.16,1.73,2,6,6,7,2,4,1512,1482,69.2,101.4,.386,.392,.534,48.1,52.9,9.0,8.9,.489,17.4,29.1,.286
Southeast Missouri State,21,10,11,.476,-6.51,-3.41,5,3,5,3,4,7,1572,1556,73.6,99.4,.436,.380,.545,50.3,52.0,9.3,7.2,.508,18.1,25.5,.299
Southeastern Louisiana,20,11,9,.550,-7.35,-2.77,5,2,7,2,3,6,1546,1536,70.7,106.6,.333,.461,.569,50.8,58.8,8.0,8.1,.545,17.8,29.5,.228
Southern,20,10,10,.500,-5.14,-2.53,6,1,5,0,4,9,1502,1467,75.2,97.0,.444,.418,.552,53.1,60.7,8.7,9.6,.510,21.6,27.4,.317


Southern California,20,14,6,.700,11.67,6.77,6,3,9,1,3,3,1425,1327,68.6,96.1,.283,.382,.485,50.2,56.5,10.3,7.7,.449,16.2,33.4,.204
Southern Illinois,22,17,5,.773,2.99,-1.97,9,2,10,1,6,3,1476,1335,65.8,91.7,.291,.352,.494,50.5,48.4,10.2,8.6,.471,18.4,26.3,.184
SIU Edwardsville,21,14,7,.667,-2.46,-4.74,5,3,7,3,5,4,1557,1438,69.8,98.1,.318,.370,.512,48.7,47.1,8.9,6.9,.477,17.7,30.6,.225
Southern Indiana,21,12,9,.571,-5.51,-5.23,5,3,8,1,3,8,1614,1514,71.6,100.1,.376,.418,.536,46.0,50.4,9.8,11.1,.493,17.0,25.0,.278
Southern Methodist,20,7,13,.350,0.44,4.34,2,5,4,7,1,5,1373,1451,69.9,102.5,.292,.366,.522,51.7,54.8,9.4,11.6,.491,15.5,31.0,.207
Southern Mississippi,21,17,4,.810,5.94,-2.06,6,2,10,0,5,4,1594,1342,69.0,92.6,.302,.403,.504,46.3,54.1,9.9,6.7,.471,19.8,28.0,.209
Southern Utah,21,14,7,.667,3.24,1.35,6,2,9,1,3,5,1806,1539,74.8,95.6,.289,.372,.526,46.3,45.4,9.3,8.5,.495,18.5,24.1,.206
St. Bonaventure,21,10,11,.476,-0.24,-0.34,4,4,9,2,0,7,1409,1407,66.8,99.8,.420,.383,.525,50.2,54.8,7.9,7.2,.482,17.0,29.0,.296
St. Francis (NY),20,9,11,.450,-17.65,-10.20,2,5,7,3,2,8,1305,1378,67.9,101.5,.300,.273,.535,51.5,52.0,9.9,7.7,.508,18.0,32.5,.207
St. John's (NY),21,13,8,.619,9.02,4.50,3,7,9,3,1,5,1631,1536,74.0,98.3,.300,.384,.532,47.1,53.2,10.2,4.6,.502,18.2,26.4,.212
St. Thomas,22,13,9,.591,-3.03,-3.93,4,5,9,0,2,9,1650,1549,66.6,105.7,.289,.366,.556,51.3,47.5,6.4,11.7,.523,15.8,28.3,.219
